word,care_hlcts,fairness_hlcts,loyalty_hlcts,authority_hlcts,sanctity_hlcts,total_seen,seen_care,seen_fairness,seen_loyalty,seen_authority,seen_sanctity,care_pos,care_neg,care_neu,care_sent,fairness_pos,fairness_neg,fairness_neu,fairness_sent,loyalty_pos,loyalty_neg,loyalty_neu,loyalty_sent,authority_pos,authority_neg,authority_neu,authority_sent,sanctity_pos,sanctity_neg,sanctity_neu,sanctity_sent,avg_pos,avg_neg,avg_neu,sum_hl,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,ind_vader,ind_comp,tag,care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,foundation
rage,4.0,3.0,10.0,7.0,3.0,88.0,12.0,16.0,26.0,17.0,17.0,0.0,0.6824999999999999,0.3175,-0.789875,0.112,0.49866666666666665,0.38999999999999996,-0.7167333333333333,0.19270000000000004,0.43450000000000005,0.37279999999999996,-0.4232100000000001,0.12828571428571428,0.6262857142857143,0.2454285714285714,-0.5305428571428572,0.043666666666666666,0.45533333333333337,0.501,-0.6132333333333334,0.0,0.0,0.0,27.0,0.3333333333333333,0.1875,0.38461538461538464,0.4117647058823529,0.17647058823529413,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}",-0.5574,n,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1875,0.38461538461538464,0.4117647058823529,0.17647058823529413,authority.vice
punishment,10.0,10.0,4.0,10.0,5.0,223.0,50.0,36.0,36.0,52.0,49.0,0.0089,0.6723000000000001,0.3187,-0.77321,0.14999999999999997,0.6035000000000001,0.2465,-0.5981500000000001,0.094,0.524,0.38175000000000003,-0.598675,0.1363,0.48600000000000004,0.37770000000000004,-0.41859999999999997,0.058399999999999994,0.6172000000000001,0.32439999999999997,-0.6911400000000001,0.0,0.0,0.0,39.0,0.2,0.2777777777777778,0.1111111111111111,0.19230769230769232,0.10204081632653061,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,n,0.0,0.0,0.0,0.0,0.0,0.2,0.2777777777777778,0.1111111111111111,0.19230769230769232,0.10204081632653061,fairness.vice
hateful,4.0,0.0,6.0,4.0,1.0,81.0,15.0,21.0,16.0,15.0,14.0,0.28175,0.418,0.30000000000000004,-0.30820000000000003,0.0,0.0,0.0,0.0,0.24749999999999997,0.3105,0.442,-0.17990000000000003,0.0,0.5485,0.4515,-0.660575,0.323,0.516,0.161,-0.296,0.0,0.0,0.0,15.0,0.26666666666666666,0.0,0.375,0.26666666666666666,0.07142857142857142,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,a,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.375,0.26666666666666666,0.07142857142857142,loyalty.vice
weak,6.0,8.0,2.0,2.0,6.0,174.0,35.0,32.0,35.0,39.0,33.0,0.09883333333333333,0.5625,0.3385,-0.4609666666666666,0.08712500000000001,0.504625,0.40825,-0.52055,0.0,0.646,0.354,-0.80145,0.0,0.39349999999999996,0.6065,-0.4404,0.04883333333333333,0.5311666666666667,0.42,-0.6451833333333333,0.0,0.0,0.0,24.0,0.17142857142857143,0.25,0.05714285714285714,0.05128205128205128,0.18181818181818182,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4404}",-0.4404,a,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.25,0.05714285714285714,0.05128205128205128,0.18181818181818182,fairness.vice
shake,3.0,6.0,4.0,3.0,1.0,123.0,23.0,26.0,19.0,27.0,28.0,0.085,0.47900000000000004,0.43566666666666665,-0.5456666666666666,0.24100000000000002,0.35633333333333334,0.4026666666666667,-0.16041666666666668,0.14,0.43975,0.42024999999999996,-0.08895,0.48,0.32366666666666666,0.19633333333333333,0.33603333333333324,0.0,0.298,0.702,-0.1779,0.0,0.0,0.0,17.0,0.13043478260869565,0.23076923076923078,0.21052631578947367,0.1111111111111111,0.03571428571428571,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1779}",-0.1779,v,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.23076923076923078,0.21052631578947367,0.1111111111111111,0.03571428571428571,fairness.vice
certainly,5.0,7.0,15.0,8.0,4.0,689.0,119.0,144.0,146.0,150.0,131.0,0.44880000000000003,0.1558,0.39520000000000005,0.20696000000000003,0.4565714285714286,0.20714285714285713,0.33614285714285713,0.31525714285714285,0.40733333333333327,0.15466666666666667,0.43800000000000006,0.3061866666666667,0.53475,0.049375,0.41587500000000005,0.4083875,0.363,0.095,0.542,0.3366,0.0,0.0,0.0,39.0,0.04201680672268908,0.04861111111111111,0.10273972602739725,0.05333333333333334,0.030534351145038167,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",0.34,r,0.04201680672268908,0.04861111111111111,0.10273972602739725,0.05333333333333334,0.030534351145038167,0.0,0.0,0.0,0.0,0.0,loyalty.virtue
trouble,3.0,2.0,3.0,6.0,7.0,293.0,54.0,53.0,44.0,72.0,70.0,0.0,0.305,0.695,-0.4019,0.2135,0.2595,0.527,-0.013200000000000017,0.12433333333333334,0.293,0.5826666666666666,-0.2402333333333333,0.0,0.5833333333333334,0.4166666666666667,-0.7635833333333335,0.027571428571428573,0.35942857142857143,0.6130000000000001,-0.4362142857142857,0.0,0.0,0.0,21.0,0.05555555555555555,0.03773584905660377,0.06818181818181818,0.08333333333333333,0.1,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4019}",-0.4019,n,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.03773584905660377,0.06818181818181818,0.08333333333333333,0.1,sanctity.vice
safe,40.0,27.0,25.0,18.0,21.0,823.0,152.0,170.0,177.0,177.0,147.0,0.458525,0.071525,0.47000000000000003,0.4131825000000001,0.47044444444444444,0.15362962962962962,0.375925925925926,0.3671370370370371,0.5242000000000001,0.08644,0.38939999999999997,0.44383999999999996,0.45566666666666655,0.10738888888888888,0.4368333333333333,0.3777722222222223,0.40185714285714286,0.12109523809523808,0.476952380952381,0.3620142857142858,0.0,0.0,0.0,131.0,0.2631578947368421,0.1588235294117647,0.14124293785310735,0.1016949152542373,0.14285714285714285,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,a,0.2631578947368421,0.1588235294117647,0.14124293785310735,0.1016949152542373,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,care.virtue
criminals,6.0,9.0,8.0,3.0,11.0,148.0,18.0,36.0,26.0,38.0,30.0,0.027833333333333335,0.7013333333333334,0.2708333333333333,-0.80145,0.04466666666666667,0.5201111111111111,0.4352222222222223,-0.7242222222222223,0.056625,0.5125000000000001,0.43074999999999997,-0.7076125,0.0,0.6236666666666667,0.37633333333333335,-0.7496666666666667,0.07227272727272727,0.5692727272727272,0.3584545454545454,-0.6687818181818183,0.0,0.0,0.0,37.0,0.3333333333333333,0.25,0.3076923076923077,0.07894736842105263,0.36666666666666664,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5719}",-0.5719,n,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.3076923076923077,0.07894736842105263,0.36666666666666664,sanctity.vice
destruction,19.0,6.0,4.0,3.0,8.0,227.0,48.0,49.0,48.0,49.0,33.0,0.08089473684210526,0.49142105263157915,0.4277368421052631,-0.5235947368421051,0.0335,0.41500000000000004,0.5514999999999999,-0.645,0.0,0.56075,0.43925,-0.78695,0.07433333333333333,0.505,0.4203333333333334,-0.6655333333333333,0.05512500000000001,0.523875,0.42112499999999997,-0.6148875,0.0,0.0,0.0,40.0,0.3958333333333333,0.12244897959183673,0.08333333333333333,0.061224489795918366,0.24242424242424243,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5719}",-0.5719,n,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.12244897959183673,0.08333333333333333,0.061224489795918366,0.24242424242424243,care.vice
